SITC 3 DIGIT,3D DESC
001,LIVE ANIMALS
011,"MEAT OF BOVINE ANIMALS, FRESH, CHILLED OR FROZEN"
012,"OTHER MEAT AND EDIBLE OFFAL, FRESH, CHILLED OR FROZEN"
016,"MEAT AND EDIBLE MEAT OFFAL, SALTED, IN BRINE, DRIED OR SMOKED; EDIBLE FLOORS AND MEALS OF MEAT OR MEAT OFFAL"
017,"MEAT AND EDIBLE MEAT OFFAL, PREPARED OR PRESERVED, N.E.S."
022,MILK AND CREAM AND MILK PRODUCTS OTHER THAN BUTTER OR CHEESE
023,BUTTER AND OTHER FATS AND OILS DERIVED FROM MILK
024,CHEESE AND CURD
025,"BIRDS EGG AND EGG YOLK, FRESH, DRIED OR OTHERWISE PRESERVED, SWEETENED OR NOT; EGG ALBUMIN"
034,"FISH, FRESH(LIVE OR DEAD), CHILLED OR FROZEN"
035,"FISH, DRIED, SALTED OR IN BRINE; SMOKED FISH"
036,"CRUSTACEANS AND MOLLUSCS, FRESH, CHILLED, FROZEN, SALTED OR IN BRINE OR DRIED"
037,"FISH, CRUSTACEANS AND MOLLUSCS PREPARED OR PRESERVED, N.E.S."
041,"WHEAT (INCLUDING SPELT) AND MESLIN, UNMILLED"
042,RICE
043,"BARLEY, UNMILLED"
044,"MAIZE (NOT INCLUDING SWEET CORN), UNMILLED"
045,"CEREALS, UNMILLED (OTHER THAN WHEAT RICE, BARLEY AND MAIZE)"
046,MEAL AND FLOUR OF WHEAT AND FLOUR OF MESLIN
047,OTHER CEREAL MEALS AND FLOURS
048,CEREAL PREPARATIONS AND PREPARATION OF FLOUR OR STARCH OF FRUITS OR VEGETABLES
054,"VEGETABLES, FRESH, CHILLED, FROZEN OR SIMPLY PRESERVED"
056,"VEGETABLES, ROOT AND TUBERS, PREPARED OR PRESERVED, N.E.S."
057,"FRUITS AND NUTS (NOT INCLUDING OIL NUTS), FRESH OR DRIED"
058,"FRUITS, PRESERVED, AND FRUIT PREPARATIONS (EXCLUDING FRUIT JUICES)"
059,"FRUIT JUICES (INCLUDING GRAPE MUST) & VEGETABLE JUICES, UNFERMENTED & NOT CONTAINING ADDED SPIRIT, WHETHER/NOT"
061,"SUGARS, MOLASSES AND HONEY"
062,SUGAR CONFECTIONERY
